abbreviation,location,location_name,population
US,US,US,340110988
AL,01,Alabama,5157699
AK,02,Alaska,740133
AZ,04,Arizona,7582384
AR,05,Arkansas,3088354
CA,06,California,39431263
CO,08,Colorado,5957493
CT,09,Connecticut,3675069
DE,10,Delaware,1051917
DC,11,District of Columbia,702250
FL,12,Florida,23372215
GA,13,Georgia,11180878
HI,15,Hawaii,1446146
ID,16,Idaho,2001619
IL,17,Illinois,12710158
IN,18,Indiana,6924275
IA,19,Iowa,3241488
KS,20,Kansas,2970606
KY,21,Kentucky,4588372
LA,22,Louisiana,4597740
ME,23,Maine,1405012
MD,24,Maryland,6263220
MA,25,Massachusetts,7136171
MI,26,Michigan,10140459
MN,27,Minnesota,5793151
MS,28,Mississippi,2943045
MO,29,Missouri,6245466
MT,30,Montana,1137233
NE,31,Nebraska,2005465
NV,32,Nevada,3267467
NH,33,New Hampshire,1409032
NJ,34,New Jersey,9500851
NM,35,New Mexico,2130256
NY,36,New York,19867248
NC,37,North Carolina,11046024
ND,38,North Dakota,796568
OH,39,Ohio,11883304
OK,40,Oklahoma,4095393
OR,41,Oregon,4272371
PA,42,Pennsylvania,13078751
RI,44,Rhode Island,1112308
SC,45,South Carolina,5478831
SD,46,South Dakota,924669
TN,47,Tennessee,7227750
TX,48,Texas,31290831
UT,49,Utah,3503613
VT,50,Vermont,648493
VA,51,Virginia,8811195
WA,53,Washington,7958180
WV,54,West Virginia,1769979
WI,55,Wisconsin,5960975
WY,56,Wyoming,587618
PR,72,Puerto Rico,3203295
